ID,official_name,type,subchapter,spelling,variant_checked
ID049,Iztac oco-xochitl,plant,09b,oco-xochitl,oco-xochitl
ID049,Iztac oco-xochitl,plant,09e,iztac-oco-xochitl,iztac-oco-xochitl
ID049,Iztac oco-xochitl,plant,09e,oco-xochitl,oco-xochitl
ID049,Iztac oco-xochitl,plant,09q,iztac-oco-xochitl,iztac-oco-xochitl
ID049,Iztac oco-xochitl,plant,09q,oco-xochitl,oco-xochitl
ID051,Oyametl,plant,08l,oyametl,oyametl
ID052,Yamanqui patli,plant,09d,yamanqui-patli,yamanqui-patli
ID054,Iztauyattl,plant,06i,iztauh-yattl,iztauh-yattl
ID054,Iztauyattl,plant,08e,iztauh-yatl,iztauh-yatl
ID054,Iztauyattl,plant,08j,iztauh-yatl,iztauh-yatl
ID054,Iztauyattl,plant,08k,iztauh-yatl,iztauh-yatl
ID054,Iztauyattl,plant,09e,iztauhyauh,iztauhyauh
ID054,Iztauyattl,plant,09q,iztauh-yatl,iztauh-yatl
ID054,Iztauyattl,plant,10i,iztauhyatl,iztauhyatl
ID055,Y-yauhtli,plant,06a,yyauhtli,yyauhtli
ID056,Quauh-yyauhtli,plant,08j,quauh-yyauhtli,quauh-yyauhtli
ID056,Quauh-yyauhtli,plant,08j,yyauhtli,yyauhtli
ID056,Quauh-yyauhtli,plant,08l,quauh-yyauhtli,quauh-yyauhtli
ID056,Quauh-yyauhtli,plant,08l,yyauhtli,yyauhtli
ID056,Quauh-yyauhtli,plant,09l,quauh-yyauhtli,quauh-yyauhtli
ID056,Quauh-yyauhtli,plant,09l,yyauhtli,yyauhtli
ID056,Quauh-yyauhtli,plant,09q,quauh-yyauhtli,quauh-yyauhtli
ID056,Quauh-yyauhtli,plant,09q,yyauhtli,yyauhtli
ID056,Quauh-yyauhtli,plant,10b,qauh-yyauhtli,qauh-yyauhtli
ID056,Quauh-yyauhtli,plant,10b,yyauhtli,yyauhtli
ID056,Quauh-yyauhtli,plant,10j,yyauhtli,yyauhtli
ID056,Quauh-yyauhtli,plant,11d,quauh-yyauhtli,quauh-yyauhtli
ID056,Quauh-yyauhtli,plant,11d,yyauhtli,yyauhtli
ID057,Holli,plant,09d,holli,holli
ID058,Yollo-xochitl,plant,08c,yollo-xochitl,yollo-xochitl
ID058,Yollo-xochitl,plant,08d,yollo-xochitl,yollo-xochitl
ID058,Yollo-xochitl,plant,10e,yollo-xochitl,yollo-xochitl
ID058,Yollo-xochitl,plant,10k,yollo-xochitl,yollo-xochitl
ID060,Cacalo-xochitl,plant,08l,cacalo-xochitl,cacalo-xochitl
ID060,Cacalo-xochitl,plant,09g,cacalo-xochitl,cacalo-xochitl
ID060,Cacalo-xochitl,plant,10d,cacalo-xochitl,cacalo-xochitl
ID061,Tlal-cacapol,plant,09m,tlal-cacapol,tlal-cacapol
ID062,Cacaua-xochitl,plant,08j,cacau-xochitl,cacau-xochitl
ID062,Cacaua-xochitl,plant,10d,cacaua-xochitl,cacaua-xochitl
ID062,Cacaua-xochitl,plant,10e,cacaua-xochitl,cacaua-xochitl
ID064,Capolla-xipehualli,plant,09d,capolla-xipe-hualli,capolla-xipe-hualli
ID066,Capul-xihuitl,plant,07k,capul-xihuitl,capul-xihuitl
ID068,Centzon-xochitl,plant,09b,centzon-xochitl,centzon-xochitl
ID068,Centzon-xochitl,plant,09f,centzon-xochitl,centzon-xochitl
ID068,Centzon-xochitl,plant,11c,centzon-xochitl,centzon-xochitl
ID069,Centzon-oco-xochitl,plant,09e,centzon-oco-xochitl,centzon-oco-xochitl
ID070,Cihua-patli,plant,11a,cihua-patli,cihua-patli
ID071,Cimatl,plant,09m,cimatl,cimatl
ID072,Coanenepilli,plant,08c,cohuanene-pilli,cohuanene-pilli
ID072,Coanenepilli,plant,09f,coanenepilli,coanenepilli
ID074,Cohua-xochitl,plant,09e,cohua-xochitl,cohua-xochitl
ID076,Cochiz-xihuitl,plant,02g,cochiz-xihuitl,cochiz-xihuitl
ID077,Huihuitzyo-cochiz-xihuitl,plant,02g,huihuitzyo-cochiz-xihuitl,huihuitzyo-cochiz-xihuitl
ID078,Cococ-xihuitl,plant,07i,cococ-xiuhuitl,cococ-xiuhuitl
ID079,Colo-mecatl,plant,09c,colo-mecatl,colo-mecatl
ID081,Coltotzin,plant,12a,coltotzin,coltotzin
ID082,Copaliyac-xiuhtontli,plant,07i,copaliyac-xiuhtontli,copaliyac-xiuhtontli
ID082,Copaliyac-xiuhtontli,plant,07m,copaliyac-xiuhtontli,copaliyac-xiuhtontli
ID083,Copal-quahuitl,plant,01d,copal-quahuitl,copal-quahuitl
ID084,Copal-xocotl,plant,10k,copal-xocotl,copal-xocotl
ID085,Coyo-xihuitl,plant,08g,coyo-xihuitl,coyo-xihuitl
ID085,Coyo-xihuitl,plant,08j,coyo-xihuitl,coyo-xihuitl
ID085,Coyo-xihuitl,plant,09e,coyo-xihuitl,coyo-xihuitl
ID085,Coyo-xihuitl,plant,09g,coyo-xihuitl,coyo-xihuitl
ID085,Coyo-xihuitl,plant,09l,coyo-xihuitl,coyo-xihuitl
ID087,Cuecuetz-patli,plant,09h,cuecuetz-patli,cuecuetz-patli
ID088,Chian,plant,08c,chian,chian
ID090,Chichiltic xiuhtontli,plant,11e,chichiltic xiuhtontli,chichiltic xiuhtontli
ID091,Chicom-acatl,plant,09f,chicom-catl,chicom-catl
ID092,Chipauac xihuitl,plant,01b,chipauac,chipauac
ID093,Chiyava xihuitl,plant,10g,chiyava-xihuitl,chiyava-xihuitl
ID094,Huacal-xochitl,plant,02b,huacal-xochitl,huacal-xochitl
ID094,Huacal-xochitl,plant,05e,huacal-xochitl,huacal-xochitl
ID094,Huacal-xochitl,plant,07b,huacal-xochitl,huacal-xochitl
ID094,Huacal-xochitl,plant,08l,huacal-xochitl,huacal-xochitl
ID094,Huacal-xochitl,plant,10k,huacal-xochitl,huacal-xochitl
ID096,Tlal-huaxin,plant,08a,tlal-huaxin,tlal-huaxin
ID097,Huelic-patli,plant,07n,huelic-patli,huelic-patli
ID099,Huey-nacaztli,plant,08l,huey-nacaztli,huey-nacaztli
ID099,Huey-nacaztli,plant,10k,huey-nacaztli,huey-nacaztli
ID100,Huitz-colotli,plant,05h,huitz-colo-xochitl,huitz-colo-xochitl
ID100,Huitz-colotli,plant,05h,huitz-colotli,huitz-colotli
ID101,Huihuitz-mallotic,plant,07j,huitz-mallotic,huitz-mallotic
ID101,Huihuitz-mallotic,plant,08c,huihuitz-mallotic,huihuitz-mallotic
ID101,Huihuitz-mallotic,plant,08c,huitz-mallotic,huitz-mallotic
ID103,Huitz-quilitl,plant,01d,huitz-quilitl,huitz-quilitl
ID103,Huitz-quilitl,plant,09e,huitz-quilitl,huitz-quilitl
ID103,Huitz-quilitl,plant,09p,huitz-quilitl,huitz-quilitl
ID104,Quauhtla huitz-quilitl,plant,07m,quauhtla huitz-quilitl,quauhtla huitz-quilitl
ID104,Quauhtla huitz-quilitl,plant,09a,quauhtla huitz-quilitl,quauhtla huitz-quilitl
ID105,Huitzihtzil-xochitl,plant,08k,huitzihtzil-xochitl,huitzihtzil-xochitl
ID105,Huitzihtzil-xochitl,plant,12a,huitzitzil-xochitl,huitzitzil-xochitl
ID106,Macpal-xochitl,plant,08a,macpal-xochitl,macpal-xochitl
ID107,Malinalli,plant,02e,malinalli,malinalli
ID107,Malinalli,plant,05h,malinalli,malinalli
ID107,Malinalli,plant,11c,malinalli,malinalli
ID108,Mamaxtla,plant,08c,mamaxtla,mamaxtla
ID108,Mamaxtla,plant,08d,mamaxtla,mamaxtla
ID109,Mamaxtla-nelhuatl,plant,09b,mamaxtla-nelhuatl,mamaxtla-nelhuatl
ID110,Matlal-xochitl,plant,02b,matlal-xochitl,matlal-xochitl
ID112,Maza-yelli,plant,03a,maza-yelli,maza-yelli
ID113,Meca-xochitl,plant,08l,meca-xochitl,meca-xochitl
ID113,Meca-xochitl,plant,10k,meca-xochitl,meca-xochitl
ID116,Mexix-quilitl,plant,06a,mexix-quilitl,mexix-quilitl
ID117,Michi-huauhtli,plant,12a,michi-huauhtli,michi-huauhtli
ID118,Mizquitl,plant,02b,mizquitl,mizquitl
ID121,Nexehuac,plant,07e,nexehuac,nexehuac
ID122,Nocheztli,plant,06c,nocheztli,nocheztli
ID123,Nochtli,plant,11a,nochtli,nochtli
ID124,Teo-nochtli,plant,05c,teo-nochtli,teo-nochtli
ID126,Nonochton azcapanixua,plant,07c,nonochton,nonochton
ID127,Nopalli,plant,09p,nohpalli,nohpalli
ID128,Papalo-quilitl,plant,06a,papalo-quilitl,papalo-quilitl
ID128,Papalo-quilitl,plant,07b,papalo-quilitl,papalo-quilitl
ID128,Papalo-quilitl,plant,09q,papalo-quilitl,papalo-quilitl
ID128,Papalo-quilitl,plant,10f,nan,nan
ID128,Papalo-quilitl,plant,10f,papalo-quilitl,papalo-quilitl
ID129,Patlahuac tzitzicaztli,plant,09k,patlahuac tzitzicaztli,patlahuac tzitzicaztli
ID130,Piciyetl,plant,07l,pizietl,pizietl
ID130,Piciyetl,plant,09h,piciyetl,piciyetl
ID131,Piltzinte-couh-xochitl,plant,08f,piltzin-tecouh-xochitl,piltzin-tecouh-xochitl
ID131,Piltzinte-couh-xochitl,plant,08j,piltzin-tecouh-xochitl,piltzin-tecouh-xochitl
ID132,Pozahualiz-xiuhtontli,plant,11d,pozahualiz-xiuhtontli,pozahualiz-xiuhtontli
ID133,Quappo-quietl,plant,08f,quappo-quietl,quappo-quietl
ID134,Quauh-alahuac,plant,11a,quauh-alahuac,quauh-alahuac
ID134,Quauh-alahuac,plant,11c,quauh-alahuac,quauh-alahuac
ID135,Quauh-yayahual,plant,09g,quauh-yayahual,quauh-yayahual
ID135,Quauh-yayahual,plant,10b,quauh-yayahual,quauh-yayahual
ID139,Quauh-patli,plant,09m,quauh-patli,quauh-patli
ID140,Quauh-tzitzicaztli,plant,09k,quauh-tzitzicaztli,quauh-tzitzicaztli
ID141,Quauh-xiyotl,plant,09g,quauh-xiyotl,quauh-xiyotl
ID143,Quetzal-ahuexotl,plant,11a,a-huexotl,a-huexotl
ID145,Quetzal-atzonyatl,plant,10a,quetzal-atzo-yatl,quetzal-atzo-yatl
ID145,Quetzal-atzonyatl,plant,10a,quetzal-atzonyatl,quetzal-atzonyatl
ID147,Quetzal-misquitl,plant,08f,quetzal-mizquitl,quetzal-mizquitl
ID147,Quetzal-misquitl,plant,09m,quetzal-mizquitl,quetzal-mizquitl
ID148,Quetzal-xoxouca-patli,plant,08j,quetzal-xoxouhca-patli,quetzal-xoxouhca-patli
ID149,Quetzal-xoxouhca-patli tzotzotlani,plant,08j,tzotzotlani,tzotzotlani
ID150,Te-amoxtli,plant,01a,te-amoxtli,te-amoxtli
ID150,Te-amoxtli,plant,05d,te-amoxtli,te-amoxtli
ID150,Te-amoxtli,plant,05e,te-amoxtli,te-amoxtli
ID150,Te-amoxtli,plant,08b,te-amoxtli,te-amoxtli
ID150,Te-amoxtli,plant,08g,te-amoxtli,te-amoxtli
ID150,Te-amoxtli,plant,09f,te-amoxtli,te-amoxtli
ID150,Te-amoxtli,plant,09p,te-amoxtli,te-amoxtli
ID150,Te-amoxtli,plant,09q,te-amoxtli,te-amoxtli
ID150,Te-amoxtli,plant,12b,te-amoxtli,te-amoxtli
ID154,Te-memetla,plant,06c,tememetla,tememetla
ID155,Teo-amatl,plant,09c,teo-amatl,teo-amatl
ID155,Teo-amatl,plant,09d,teo-amatl,teo-amatl
ID155,Teo-amatl,plant,09h,teo-amatl,teo-amatl
ID157,Teo-xihuitl v1,plant,07c,teo-xihuitl,teo-xihuitl
ID160,Tepe-chian,plant,08e,tepe-chian,tepe-chian
ID160,Tepe-chian,plant,08f,tepe-chian,tepe-chian
ID160,Tepe-chian,plant,08g,tepe-chian,tepe-chian
ID160,Tepe-chian,plant,08j,tepe-chian,tepe-chian
ID160,Tepe-chian,plant,09b,tepe-chian,tepe-chian
ID160,Tepe-chian,plant,09g,tepe-chian,tepe-chian
ID163,Tequam-maitl,plant,01d,tequam-maitl,tequam-maitl
ID164,Tequixqui-zacatl,plant,02f,tequixqui-zacatl,tequixqui-zacatl
ID165,Te-tzapotl,plant,08a,te-tzapotl,te-tzapotl
ID165,Te-tzapotl,plant,08b,te-tzapotl,te-tzapotl
ID166,Te-tzitzicaztli,plant,09k,te-tzitzicaztli,te-tzitzicaztli
ID167,Te-tzitzilin,plant,10a,te-tzilin,te-tzilin
ID168,Te-xiyotl,plant,06c,te-xiyotl,te-xiyotl
ID168,Te-xiyotl,plant,09p,te-xiyotl,te-xiyotl
ID170,Tetezhuatic,plant,06e,te-tezhuatic,te-tezhuatic
ID171,Tetzmi-nopalli,plant,05g,tetzmi-nopalli,tetzmi-nopalli
ID172,Tetzmitl,plant,02f,tetzmitl,tetzmitl
ID172,Tetzmitl,plant,09b,tetzmitl,tetzmitl
ID172,Tetzmitl,plant,09e,tetzmitl,tetzmitl
ID172,Tetzmitl,plant,09l,tetzmitl,tetzmitl
ID172,Tetzmitl,plant,09p,tetzmitl,tetzmitl
ID173,Tetzmi-xochitl,plant,01d,tetzmi-xochitl,tetzmi-xochitl
ID173,Tetzmi-xochitl,plant,08d,tetzmi-xochitl,tetzmi-xochitl
ID176,Tezon-patli,plant,01d,tezon-patli,tezon-patli
ID178,Tolohua xihuitl,plant,03a,tolova,tolova
ID178,Tolohua xihuitl,plant,06f,tolova,tolova
ID178,Tolohua xihuitl,plant,06f,tolova-xihuitl,tolova-xihuitl
ID178,Tolohua xihuitl,plant,06g,tolohua,tolohua
ID178,Tolohua xihuitl,plant,07e,tolohua,tolohua
ID178,Tolohua xihuitl,plant,07e,tolohua-xihuitl,tolohua-xihuitl
ID178,Tolohua xihuitl,plant,08a,tolohua,tolohua
ID178,Tolohua xihuitl,plant,08a,tolohua-xihuitl,tolohua-xihuitl
ID178,Tolohua xihuitl,plant,08i,tolohua,tolohua
ID178,Tolohua xihuitl,plant,08i,tolohua-xihuitl,tolohua-xihuitl
ID178,Tolohua xihuitl,plant,08j,tolohua,tolohua
ID178,Tolohua xihuitl,plant,08j,tolohua-xihuitl,tolohua-xihuitl
ID178,Tolohua xihuitl,plant,09n,tolohua,tolohua
ID178,Tolohua xihuitl,plant,09n,tolohua-xihuitl,tolohua-xihuitl
ID179,Tlapatl,plant,03a,tlapatl,tlapatl
ID180,Tol-patlactli,plant,05d,tol-patlactli,tol-patlactli
ID180,Tol-patlactli,plant,09e,tol-patlctli,tol-patlctli
ID181,Tomaz-quitl,plant,08l,tomazquitl,tomazquitl
ID182,Tonaca-xochitl,plant,10f,tonaca-xochitl,tonaca-xochitl
ID185,Ayauh-tonan-yxiuh,plant,10f,ayauh-tonan-yxiuh,ayauh-tonan-yxiuh
ID187,Topozan,plant,09g,topozan,topozan
ID189,Totoloctzin,plant,10f,nan,nan
ID189,Totoloctzin,plant,10f,totoloctzin,totoloctzin
ID190,Tlaca-camotli,plant,07d,tlaca-camotli,tlaca-camotli
ID190,Tlaca-camotli,plant,09e,tlaca-camotli,tlaca-camotli
ID192,Tlaco-amatl,plant,07k,tlacomatl,tlacomatl
ID193,Tlaco-ecapatli,plant,09l,tlaco-eca-patli,tlaco-eca-patli
ID194,Tlaco-izqui-xochitl,plant,02b,tlaco-izqui-xochitl,tlaco-izqui-xochitl
ID195,Tlaco-popotli,plant,11c,tlaco-popotl,tlaco-popotl
ID196,Tlaco-xilo-xochitl,plant,05h,tlaco-xilo-xochitl,tlaco-xilo-xochitl
ID196,Tlaco-xilo-xochitl,plant,06b,tlaco-xilo-xochitl,tlaco-xilo-xochitl
ID196,Tlaco-xilo-xochitl,plant,09d,tlaco-xilo-xochitl,tlaco-xilo-xochitl
ID198,Tlal-ahuehuetl,plant,01b,tlal-ahuehuetl,tlal-ahuehuetl
ID198,Tlal-ahuehuetl,plant,09j,tlal-ahuehuetl,tlal-ahuehuetl
ID198,Tlal-ahuehuetl,plant,09m,tlal-ahuehuetl,tlal-ahuehuetl
ID198,Tlal-ahuehuetl,plant,09n,tlal-ahuehuetl,tlal-ahuehuetl
ID198,Tlal-ahuehuetl,plant,12a,tlal-ahuehuetl,tlal-ahuehuetl
ID200,Tlal-ecapatli,plant,08j,tlal-ecapatli,tlal-ecapatli
ID200,Tlal-ecapatli,plant,09e,tlal-ecapatli,tlal-ecapatli
ID200,Tlal-ecapatli,plant,09q,tlal-ecapatli,tlal-ecapatli
ID202,Tlal-mizquitl,plant,06e,tlal-mizquitl,tlal-mizquitl
ID202,Tlal-mizquitl,plant,12a,tlal-mizquitl,tlal-mizquitl
ID203,Tlal-patli,plant,09m,tlal-patli,tlal-patli
ID204,Tlal-quequetzal,plant,06d,tlal-quequetzal,tlal-quequetzal
ID204,Tlal-quequetzal,plant,09d,tlal-quequetzal,tlal-quequetzal
ID205,Tla-nen-popoloua,plant,09l,tlanen-popoloa,tlanen-popoloa
ID207,Tlanextia-yxiuh,plant,09h,tlanexti-yxiuh,tlanexti-yxiuh
ID207,Tlanextia-yxiuh,plant,10d,tlanexti-yxiuh,tlanexti-yxiuh
ID208,Tlanextia xiuhtontli,plant,05d,tlanexti,tlanexti
ID208,Tlanextia xiuhtontli,plant,05f,tlanexti,tlanexti
ID208,Tlanextia xiuhtontli,plant,05i,tlanexti,tlanexti
ID208,Tlanextia xiuhtontli,plant,05i,tlanextia,tlanextia
ID208,Tlanextia xiuhtontli,plant,05i,tlanextia xiuhtontli,tlanextia xiuhtontli
ID208,Tlanextia xiuhtontli,plant,07l,tlanexti,tlanexti
ID208,Tlanextia xiuhtontli,plant,07l,tlanexti-xiuhtontli,tlanexti-xiuhtontli
ID208,Tlanextia xiuhtontli,plant,07l,tlanextia,tlanextia
ID208,Tlanextia xiuhtontli,plant,07m,tlanexti,tlanexti
ID208,Tlanextia xiuhtontli,plant,07m,tlanexti-xiuhtontli,tlanexti-xiuhtontli
ID208,Tlanextia xiuhtontli,plant,11a,tlanexti,tlanexti
ID208,Tlanextia xiuhtontli,plant,11a,tlanextia,tlanextia
ID209,Tlanextia quahuitl,plant,07l,tlanextia-quahuitl,tlanextia-quahuitl
ID209,Tlanextia quahuitl,plant,09b,tlanextia quahuitl,tlanextia quahuitl
ID211,Tlapal-achiyotl,plant,09d,tlapal-achiyotl,tlapal-achiyotl
ID212,Tlapol-cacahuatl,plant,08l,tlapal-cacahuatl,tlapal-cacahuatl
ID213,Tlaquilin,plant,03a,tlaquilin,tlaquilin
ID213,Tlaquilin,plant,09i,tlaquilin,tlaquilin
ID213,Tlaquilin,plant,09m,tlaquilin,tlaquilin
ID214,Tlatlacotic,plant,06c,tlatlacotic,tlatlacotic
ID214,Tlatlacotic,plant,07a,tlatlacotic,tlatlacotic
ID214,Tlatlacotic,plant,09q,tlatlacotic,tlatlacotic
ID214,Tlatlacotic,plant,10a,tlatlacotic,tlatlacotic
ID214,Tlatlacotic,plant,10e,tlatlacotic,tlatlacotic
ID215,Tlatlanquaye,plant,01b,tlatlanquaye,tlatlanquaye
ID215,Tlatlanquaye,plant,03a,tlatlanquaye,tlatlanquaye
ID215,Tlatlanquaye,plant,05i,tlatlanquaye,tlatlanquaye
ID215,Tlatlanquaye,plant,06a,tlatlanquaye,tlatlanquaye
ID215,Tlatlanquaye,plant,07f,tlatlanquaye,tlatlanquaye
ID215,Tlatlanquaye,plant,07i,tlatlanquaye,tlatlanquaye
ID215,Tlatlanquaye,plant,07l,tlatlanquaye,tlatlanquaye
ID215,Tlatlanquaye,plant,08k,tlatlanquaye,tlatlanquaye
ID215,Tlatlanquaye,plant,09a,tlatlan-quaye,tlatlan-quaye
ID215,Tlatlanquaye,plant,09f,tlatlanquaye,tlatlanquaye
ID215,Tlatlanquaye,plant,09g,tlatlanquaye,tlatlanquaye
ID215,Tlatlanquaye,plant,09h,tlatlanquaye,tlatlanquaye
ID215,Tlatlanquaye,plant,09i,tlatlanquaye,tlatlanquaye
ID215,Tlatlanquaye,plant,09m,tlatlanquaye,tlatlanquaye
ID215,Tlatlanquaye,plant,09n,tlatlanquaye,tlatlanquaye
ID215,Tlatlanquaye,plant,09q,tlatlanquaye,tlatlanquaye
ID215,Tlatlanquaye,plant,12a,tlatlanquaye,tlatlanquaye
ID217,Tlatlaolton,plant,07b,tlatlaolton,tlatlaolton
ID217,Tlatlaolton,plant,08k,tlatlaolton,tlatlaolton
ID220,Tla-yapaloni,plant,01b,tla-yapaloni,tla-yapaloni
ID220,Tla-yapaloni,plant,09f,tlayapaloni,tlayapaloni
ID220,Tla-yapaloni,plant,09n,tla-yapaloni,tla-yapaloni
ID220,Tla-yapaloni,plant,12a,tla-yapaloni,tla-yapaloni
ID221,Tlazol-patli,plant,02g,tlazol-patli,tlazol-patli
ID221,Tlazol-patli,plant,09b,tlazol-patli,tlazol-patli
ID222,Tlazol-teo-zacatl,plant,09b,tlazolco-zacatl,tlazolco-zacatl
ID222,Tlazol-teo-zacatl,plant,09f,tlazo-teo-zacatl,tlazo-teo-zacatl
ID224,Tlil-xochitl,plant,10k,tlil-xochitl,tlil-xochitl
ID225,Tzacouh-xochitl,plant,10d,tzacouh-xochitl,tzacouh-xochitl
ID226,Tzayanal-quilitl,plant,09e,tzayanal-quilitl,tzayanal-quilitl
ID227,Tzihuac-copalli,plant,09l,tzihuac-copalli,tzihuac-copalli
ID229,Colo-tzitzicaztli,plant,09k,colo-tzitzicaztli,colo-tzitzicaztli
